0;[0, 1[;[0, 4[;[0, 16[;*
1;[1, 4[;[0, 4[;[0, 16[;*
2;[1, 4[;[0, 4[;[0, 16[;*
3;[1, 4[;[0, 4[;[0, 16[;*
4;[4, 16[;[4, 16[;[0, 16[;*
5;[4, 16[;[4, 16[;[0, 16[;*
6;[4, 16[;[4, 16[;[0, 16[;*
7;[4, 16[;[4, 16[;[0, 16[;*
8;[4, 16[;[4, 16[;[0, 16[;*
9;[4, 16[;[4, 16[;[0, 16[;*
10;[4, 16[;[4, 16[;[0, 16[;*
11;[4, 16[;[4, 16[;[0, 16[;*
12;[4, 16[;[4, 16[;[0, 16[;*
13;[4, 16[;[4, 16[;[0, 16[;*
14;[4, 16[;[4, 16[;[0, 16[;*
15;[4, 16[;[4, 16[;[0, 16[;*
16;[16, 18[;[16, 20[;[16, 25[;*
17;[16, 18[;[16, 20[;[16, 25[;*
18;[18, 20[;[16, 20[;[16, 25[;*
19;[18, 20[;[16, 20[;[16, 25[;*
20;[20, 22[;[20, 25[;[16, 25[;*
21;[20, 22[;[20, 25[;[16, 25[;*
22;[22, 24[;[20, 25[;[16, 25[;*
23;[22, 24[;[20, 25[;[16, 25[;*
24;[24, 25[;[20, 25[;[16, 25[;*
