0;[0, 5[;[0, 10[;[0, 20[;*
1;[0, 5[;[0, 10[;[0, 20[;*
2;[0, 5[;[0, 10[;[0, 20[;*
3;[0, 5[;[0, 10[;[0, 20[;*
4;[0, 5[;[0, 10[;[0, 20[;*
5;[5, 10[;[0, 10[;[0, 20[;*
6;[5, 10[;[0, 10[;[0, 20[;*
7;[5, 10[;[0, 10[;[0, 20[;*
8;[5, 10[;[0, 10[;[0, 20[;*
9;[5, 10[;[0, 10[;[0, 20[;*
10;[10, 15[;[10, 20[;[0, 20[;*
11;[10, 15[;[10, 20[;[0, 20[;*
12;[10, 15[;[10, 20[;[0, 20[;*
13;[10, 15[;[10, 20[;[0, 20[;*
14;[10, 15[;[10, 20[;[0, 20[;*
15;[15, 20[;[10, 20[;[0, 20[;*
16;[15, 20[;[10, 20[;[0, 20[;*
17;[15, 20[;[10, 20[;[0, 20[;*
18;[15, 20[;[10, 20[;[0, 20[;*
19;[15, 20[;[10, 20[;[0, 20[;*
20;[20, 25[;[20, 30[;[20, 30[;*
21;[20, 25[;[20, 30[;[20, 30[;*
22;[20, 25[;[20, 30[;[20, 30[;*
23;[20, 25[;[20, 30[;[20, 30[;*
24;[20, 25[;[20, 30[;[20, 30[;*
25;[25, 30[;[20, 30[;[20, 30[;*
26;[25, 30[;[20, 30[;[20, 30[;*
27;[25, 30[;[20, 30[;[20, 30[;*
28;[25, 30[;[20, 30[;[20, 30[;*
29;[25, 30[;[20, 30[;[20, 30[;*
30;[30, 35[;[30, 40[;[20, 30[;*
31;[30, 35[;[30, 40[;[20, 30[;*
32;[30, 35[;[30, 40[;[20, 30[;*
33;[30, 35[;[30, 40[;[20, 30[;*
34;[30, 35[;[30, 40[;[20, 30[;*
35;[35, 40[;[30, 40[;[20, 30[;*
36;[35, 40[;[30, 40[;[20, 30[;*
37;[35, 40[;[30, 40[;[20, 30[;*
38;[35, 40[;[30, 40[;[20, 30[;*
39;[35, 40[;[30, 40[;[20, 30[;*
40;[40, 45[;[40, 50[;[40, 60[;*
41;[40, 45[;[40, 50[;[40, 60[;*
42;[40, 45[;[40, 50[;[40, 60[;*
43;[40, 45[;[40, 50[;[40, 60[;*
44;[40, 45[;[40, 50[;[40, 60[;*
45;[45, 50[;[40, 50[;[40, 60[;*
46;[45, 50[;[40, 50[;[40, 60[;*
47;[45, 50[;[40, 50[;[40, 60[;*
48;[45, 50[;[40, 50[;[40, 60[;*
49;[45, 50[;[40, 50[;[40, 60[;*
50;[50, 55[;[50, 60[;[40, 60[;*
51;[50, 55[;[50, 60[;[40, 60[;*
52;[50, 55[;[50, 60[;[40, 60[;*
53;[50, 55[;[50, 60[;[40, 60[;*
54;[50, 55[;[50, 60[;[40, 60[;*
55;[55, 60[;[50, 60[;[40, 60[;*
56;[55, 60[;[50, 60[;[40, 60[;*
57;[55, 60[;[50, 60[;[40, 60[;*
58;[55, 60[;[50, 60[;[40, 60[;*
59;[55, 60[;[50, 60[;[40, 60[;*
60;[60, 65[;[60, 70[;[60, 80[;*
61;[60, 65[;[60, 70[;[60, 80[;*
62;[60, 65[;[60, 70[;[60, 80[;*
63;[60, 65[;[60, 70[;[60, 80[;*
64;[60, 65[;[60, 70[;[60, 80[;*
65;[65, 70[;[60, 70[;[60, 80[;*
66;[65, 70[;[60, 70[;[60, 80[;*
67;[65, 70[;[60, 70[;[60, 80[;*
68;[65, 70[;[60, 70[;[60, 80[;*
69;[65, 70[;[60, 70[;[60, 80[;*
70;[70, 75[;[70, 80[;[60, 80[;*
71;[70, 75[;[70, 80[;[60, 80[;*
72;[70, 75[;[70, 80[;[60, 80[;*
73;[70, 75[;[70, 80[;[60, 80[;*
74;[70, 75[;[70, 80[;[60, 80[;*
75;[75, 80[;[70, 80[;[60, 80[;*
76;[75, 80[;[70, 80[;[60, 80[;*
77;[75, 80[;[70, 80[;[60, 80[;*
78;[75, 80[;[70, 80[;[60, 80[;*
79;[75, 80[;[70, 80[;[60, 80[;*
80;[80, 85[;[80, 90[;[80, 100[;*
81;[80, 85[;[80, 90[;[80, 100[;*
82;[80, 85[;[80, 90[;[80, 100[;*
83;[80, 85[;[80, 90[;[80, 100[;*
84;[80, 85[;[80, 90[;[80, 100[;*
85;[85, 90[;[80, 90[;[80, 100[;*
86;[85, 90[;[80, 90[;[80, 100[;*
87;[85, 90[;[80, 90[;[80, 100[;*
88;[85, 90[;[80, 90[;[80, 100[;*
89;[85, 90[;[80, 90[;[80, 100[;*
90;[90, 95[;[90, 100[;[80, 100[;*
91;[90, 95[;[90, 100[;[80, 100[;*
92;[90, 95[;[90, 100[;[80, 100[;*
93;[90, 95[;[90, 100[;[80, 100[;*
94;[90, 95[;[90, 100[;[80, 100[;*
95;[95, 100[;[90, 100[;[80, 100[;*
96;[95, 100[;[90, 100[;[80, 100[;*
97;[95, 100[;[90, 100[;[80, 100[;*
98;[95, 100[;[90, 100[;[80, 100[;*
99;[95, 100[;[90, 100[;[80, 100[;*
