0;0-1999;*
114;0-1999;*
401;0-1999;*
594;0-1999;*
914;0-1999;*
991;0-1999;*
1055;0-1999;*
1086;0-1999;*
1111;0-1999;*
1151;0-1999;*
1173;0-1999;*
1409;0-1999;*
1424;0-1999;*
1455;0-1999;*
1471;0-1999;*
1506;0-1999;*
1639;0-1999;*
1797;0-1999;*
1831;0-1999;*
1848;0-1999;*
2009;2000-3999;*
2036;2000-3999;*
2050;2000-3999;*
2062;2000-3999;*
2105;2000-3999;*
2174;2000-3999;*
2176;2000-3999;*
2202;2000-3999;*
2228;2000-3999;*
2290;2000-3999;*
2329;2000-3999;*
2346;2000-3999;*
2354;2000-3999;*
2387;2000-3999;*
2407;2000-3999;*
2414;2000-3999;*
2463;2000-3999;*
2538;2000-3999;*
2580;2000-3999;*
2597;2000-3999;*
2635;2000-3999;*
2653;2000-3999;*
2829;2000-3999;*
2885;2000-3999;*
2907;2000-3999;*
2936;2000-3999;*
2961;2000-3999;*
2964;2000-3999;*
2977;2000-3999;*
2993;2000-3999;*
3103;2000-3999;*
3137;2000-3999;*
3273;2000-3999;*
3325;2000-3999;*
3411;2000-3999;*
3418;2000-3999;*
3432;2000-3999;*
3456;2000-3999;*
3464;2000-3999;*
3471;2000-3999;*
3674;2000-3999;*
3781;2000-3999;*
3818;2000-3999;*
3887;2000-3999;*
3908;2000-3999;*
3942;2000-3999;*
4064;4000-6999;*
4101;4000-6999;*
4386;4000-6999;*
4416;4000-6999;*
4508;4000-6999;*
4650;4000-6999;*
4687;4000-6999;*
4787;4000-6999;*
4865;4000-6999;*
4931;4000-6999;*
4934;4000-6999;*
5013;4000-6999;*
5060;4000-6999;*
5178;4000-6999;*
5455;4000-6999;*
5556;4000-6999;*
5721;4000-6999;*
6097;4000-6999;*
6360;4000-6999;*
6418;4000-6999;*
6497;4000-6999;*
6514;4000-6999;*
6723;4000-6999;*
6767;4000-6999;*
6849;4000-6999;*
7298;>= 7000;*
7430;>= 7000;*
7443;>= 7000;*
7688;>= 7000;*
7896;>= 7000;*
7978;>= 7000;*
8614;>= 7000;*
9386;>= 7000;*
9562;>= 7000;*
10520;>= 7000;*
10566;>= 7000;*
10605;>= 7000;*
11678;>= 7000;*
13550;>= 7000;*
14084;>= 7000;*
14344;>= 7000;*
15020;>= 7000;*
15024;>= 7000;*
15831;>= 7000;*
18481;>= 7000;*
20051;>= 7000;*
22040;>= 7000;*
25124;>= 7000;*
25236;>= 7000;*
27828;>= 7000;*
34095;>= 7000;*
41310;>= 7000;*
99999;>= 7000;*
?;?;*
