Adult;3;[marital-status, race, native-country];occupation;13.3877;18.3609;4.9731
Adult;4;[sex, marital-status, education, race];occupation;13.3877;31.1253;17.7376
Adult;4;[marital-status, salary-class, education, native-country];occupation;13.3877;28.6022;15.2145
Adult;3;[sex, race, workclass];occupation;13.3877;24.2756;10.8879
Adult;6;[sex, marital-status, age, race, native-country, workclass];occupation;13.3877;24.5209;11.1332
Adult;2;[sex, race];occupation;13.3877;21.2221;7.8344
Adult;6;[sex, salary-class, education, race, native-country, workclass];occupation;13.3877;32.8592;19.4715
Adult;4;[sex, marital-status, age, education];occupation;13.3877;29.9052;16.5175
Adult;4;[sex, marital-status, native-country, workclass];occupation;13.3877;24.5408;11.1531
Adult;4;[marital-status, education, native-country, workclass];occupation;13.3877;30.1273;16.7396
Adult;2;[marital-status, education];occupation;13.3877;28.0883;14.7006
Adult;1;[workclass];occupation;13.3877;18.1387;4.7510
Adult;7;[sex, marital-status, salary-class, education, race, workclass, native-country];occupation;13.3877;33.2405;19.8528
Adult;5;[sex, marital-status, salary-class, race, native-country];occupation;13.3877;24.5905;11.2028
Adult;3;[education, race, workclass];occupation;13.3877;27.5612;14.1735
Adult;3;[salary-class, race, native-country];occupation;13.3877;18.6095;5.2218
Adult;4;[sex, marital-status, age, salary-class];occupation;13.3877;24.3518;10.9641
Adult;6;[sex, marital-status, salary-class, education, race, native-country];occupation;13.3877;31.4634;18.0757
Adult;5;[sex, marital-status, salary-class, race, workclass];occupation;13.3877;26.2085;12.8208
Adult;2;[education, native-country];occupation;13.3877;24.8226;11.4349
Adult;5;[marital-status, age, salary-class, education, race];occupation;13.3877;26.6660;13.2783
Adult;3;[age, education, workclass];occupation;13.3877;26.4837;13.0959
Adult;3;[age, workclass, native-country];occupation;13.3877;20.4562;7.0685
Adult;4;[marital-status, education, race, workclass];occupation;13.3877;29.9483;16.5606
Adult;2;[sex, salary-class];occupation;13.3877;24.0965;10.7088
Adult;2;[race, native-country];occupation;13.3877;15.3571;1.9694
Adult;3;[sex, marital-status, salary-class];occupation;13.3877;24.2126;10.8249
Adult;4;[age, salary-class, education, workclass];occupation;13.3877;26.6229;13.2352
Adult;2;[salary-class, native-country];occupation;13.3877;18.0160;4.6283
Adult;5;[sex, marital-status, age, education, workclass];occupation;13.3877;31.3507;17.9630
