1;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
2;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
3;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
4;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
5;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
6;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
7;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
8;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
9;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
10;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
11;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
12;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
13;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
14;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
15;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
16;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
17;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
18;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
19;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
20;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
21;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
22;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
23;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
24;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
25;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
26;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
27;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
28;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
29;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
30;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
31;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
32;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
33;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
34;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
35;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
36;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
37;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
38;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
39;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
40;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
41;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
42;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
43;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
44;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
45;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
46;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
47;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
48;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
49;[0, 50[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
50;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
51;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
52;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
53;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
54;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
55;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
56;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
57;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
58;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
59;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
60;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
61;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
62;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
63;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
64;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
65;[50, 100[;[0, 100[;[0, 200[;[0, 400[;[0, 800[;*
