;;;;;;;Execution time;Execution time;Number of checks;Number of rollups;Number of snapshots;Size of lattice;Information loss;Information loss (Transformation)
Algorithm;Dataset;Criteria;Metric;Suppression;QI count;Termination Limit;Arithmetic Mean;Standard Deviation;Value;Value;Value;Value;Value;Value
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;30000;3.0000485456E10;1473838.5814969698;152115.0;12390.0;147318.0;152117.0;0.4158145300898941;[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;60000;5.9999866315E10;404858.84033326973;295731.0;24785.0;286468.0;295732.0;0.4158145300898941;[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;300000;3.000012260103333E11;2126777.183152089;1423162.0;163775.0;1384556.0;1423163.0;0.4118388115966418;[5, 3, 3, 1, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;15;600000;5.99999719628E11;353582.98688850965;2841259.0;328456.0;2769667.0;2841262.0;0.4013611584038792;[4, 3, 3, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;15;30000;3.0000442439E10;497762.83014604455;32937.0;292.0;32058.0;32947.0;0.09684594390207324;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;15;60000;5.9999724794E10;128149.25769976196;45612.0;443.0;44628.0;45614.0;0.09684594390207324;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;15;300000;6.4181522010333336E10;1.872652561964134E8;46874.0;491.0;45819.0;46875.0;0.09684594390207324;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;15;600000;6.4202122101666664E10;1.1273501157883553E8;46874.0;491.0;45819.0;46875.0;0.09684594390207324;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;30000;3.0001306523666668E10;1541488.377991003;159211.0;103471.0;155722.0;159213.0;468151.4220992984;[0, 3, 3, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;60000;6.0000160459666664E10;1472472.8892500307;314718.0;204637.0;307806.0;314721.0;468151.4220992984;[0, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;300000;3.000018788833333E11;2041943.6056199821;1266194.0;823162.0;1231935.0;1266195.0;468151.4220992984;[0, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;15;600000;6.0000239567E11;1763022.546430703;2438849.0;1592899.0;2373947.0;2438851.0;468151.4220992984;[0, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;15;30000;3.0000974587666668E10;1989252.3991726974;160090.0;104034.0;156577.0;160091.0;266743.97415681416;[0, 3, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;15;60000;6.0001125672E10;1764330.3778178848;315266.0;204968.0;308330.0;315266.0;266743.97415681416;[0, 3, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;15;300000;3.000008443463333E11;1776306.4211774762;1244710.0;809303.0;1211042.0;1244710.0;266743.97415681416;[0, 3, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;15;600000;6.000005404493334E11;1145134.7430657814;2434687.0;1590131.0;2369916.0;2434689.0;266743.97415681416;[0, 3, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;15;30000;3.0001527337666668E10;1629487.1482415358;332454.0;41985.0;330460.0;332456.0;1.89687841E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;15;60000;5.9999986415E10;1161197.3316887186;626923.0;93027.0;622912.0;626926.0;1.89687841E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;15;300000;2.999993963176667E11;226181.33359394036;2552152.0;476866.0;2531178.0;2552154.0;1.89687841E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;15;600000;5.999997781156666E11;597878.803384376;4540672.0;830422.0;4494645.0;4540682.0;1.89687841E8;[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;15;30000;2.9999624619333332E10;410471.96683492686;275251.0;5385.0;273593.0;275254.0;9.4632815E7;[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;15;60000;5.9999781679333336E10;226823.12104883255;502121.0;10949.0;498969.0;502123.0;9.4632815E7;[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;15;300000;3.000003680336667E11;588860.1322872294;2029523.0;74106.0;2015957.0;2029534.0;9.4632815E7;[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;1.0;15;600000;6.00000584238E11;1680730.6007326099;3739156.0;185195.0;3712388.0;3739164.0;9.1906871E7;[2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]
