;;;;;;;Execution time;Execution time;Number of checks;Number of rollups;Number of snapshots;Size of lattice;Information loss;Information loss (Transformation)
Algorithm;Dataset;Criteria;Metric;Suppression;QI count;Termination Limit;Arithmetic Mean;Standard Deviation;Value;Value;Value;Value;Value;Value
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;25;30000;3.0003258130333332E10;2741967.261432261;145586.0;8108.0;142823.0;145589.0;0.5788890713894155;[5, 3, 3, 0, 0, 0, 2, 1, 2, 2, 2, 2, 2, 0, 2, 1, 1, 1, 9, 1, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;25;60000;6.0000783260333336E10;2319505.7365568927;295735.0;15699.0;290348.0;295737.0;0.5788890713767847;[5, 3, 3, 1, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 2, 1, 1, 1, 9, 1, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;25;300000;3.000021536553333E11;2143622.4806449325;1441820.0;87831.0;1415991.0;1441826.0;0.5617388037949556;[5, 3, 3, 1, 0, 1, 1, 0, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;0.0;25;600000;6.00006785137E11;1.2187133430698007E7;2803861.0;177631.0;2753621.0;2803872.0;0.5428831493240405;[5, 3, 3, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;25;30000;3.0000105752333332E10;236083.59217093705;32824.0;39.0;32098.0;32834.0;0.18404455614473614;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;25;60000;5.9999831564666664E10;310518.81206350983;68700.0;80.0;67543.0;68704.0;0.18404455614473614;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;25;300000;3.000082735543333E11;1.45137908553304E7;330698.0;411.0;325610.0;330701.0;0.18404455614473614;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Loss;1.0;25;600000;5.999998246336666E11;261251.0179316692;646168.0;879.0;636816.0;646171.0;0.18404455614473614;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;25;30000;3.0000374259333332E10;1898474.687515568;106617.0;18510.0;103513.0;106623.0;1160778.0124391487;[2, 3, 3, 2, 2, 2, 1, 2, 2, 1, 1, 0, 2, 1, 1, 2, 2, 2, 9, 2, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;25;60000;6.0003056955333336E10;3013178.9986899775;207241.0;36000.0;201369.0;207244.0;1160778.0124391487;[2, 3, 3, 2, 2, 2, 1, 2, 2, 1, 1, 0, 2, 1, 1, 2, 2, 2, 9, 2, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;25;300000;3.000009725866667E11;1718438.22646621;1065471.0;184548.0;1036267.0;1065474.0;1141803.4796882079;[2, 3, 3, 2, 2, 2, 1, 2, 1, 1, 1, 0, 2, 2, 1, 2, 2, 2, 9, 2, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;0.0;25;600000;5.999997899636666E11;1163518.043824991;2123743.0;367643.0;2065757.0;2123743.0;1122828.9469372672;[2, 3, 3, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 9, 2, 1, 1, 1, 3, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;25;30000;2.9999940236E10;760259.4785814906;104580.0;18156.0;101529.0;104583.0;647894.5763068438;[2, 3, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1, 1, 0, 1, 1, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;25;60000;6.0000514339333336E10;1772665.7697787627;207757.0;36086.0;201882.0;207757.0;647894.5763068438;[2, 3, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1, 1, 0, 1, 1, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;25;300000;3.000019273213333E11;2721610.8566112705;1009811.0;174814.0;982143.0;1009813.0;647894.5763068438;[2, 3, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1, 1, 0, 1, 1, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic non-uniform entropy;1.0;25;600000;6.000017444056666E11;2069663.5037909746;2083816.0;360699.0;2026903.0;2083819.0;647894.5763068438;[2, 3, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 8, 1, 1, 0, 1, 1, 2]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;25;30000;3.0000894309666668E10;2510405.6779298307;97477.0;6008.0;93437.0;97480.0;3.09772925E8;[5, 3, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;25;60000;6.0001160520666664E10;2126179.0069080107;191595.0;11863.0;183745.0;191600.0;3.09772925E8;[5, 3, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;25;300000;2.999996512183333E11;288409.2560621683;991027.0;61522.0;950825.0;991031.0;3.09772925E8;[5, 3, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
Heurakles;SS13ACS_SEMANTIC;[k];Non-monotonic discernability;0.0;25;600000;6.000025616083334E11;2387275.65308247;2683933.0;182383.0;2617819.0;2683937.0;3.09772925E8;[5, 3, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 2, 3]
